Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Saint-Constant,Saint-Constant,Roussillon,Montérégie,"[Roussillon,Kahnawake]",Roussillon,Regional County Municipality (RCM),170000,0
Napierville,Napierville,Les Jardins-de-Napierville,Montérégie,"[Les Jardins-de-Napierville,Le Haut-Saint-Laurent]",Les Jardins-de-Napierville & Le Haut-Saint-Laurent,Regional County Municipality (RCM),50000,0
Elgin,Elgin,Le Haut-Saint-Laurent,Montérégie,"[Les Jardins-de-Napierville,Le Haut-Saint-Laurent]",Les Jardins-de-Napierville & Le Haut-Saint-Laurent,Regional County Municipality (RCM),50000,0
Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Beauharnois-Salaberry,Montérégie,Beauharnois-Salaberry,Beauharnois-Salaberry,Regional County Municipality (RCM),65000,0
Vaudreuil-Dorion,Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Regional County Municipality (RCM),150000,0
Auteuil,Laval,Laval,Laval,Auteuil,Auteuil,Laval Borough,25000,0
Chomedey,Laval,Laval,Laval,Chomedey,Chomedey,Laval Borough,100000,0
Duvernay,Laval,Laval,Laval,"[Duvernay,Saint-Vincent-de-Paul,Saint-François Laval]","Duvernay, Saint-Vincent-de-Paul & Saint-François",Laval Borough,65000,0
Saint-Vincent-de-Paul,Laval,Laval,Laval,"[Duvernay,Saint-Vincent-de-Paul,Saint-François Laval]","Duvernay, Saint-Vincent-de-Paul & Saint-François",Laval Borough,65000,0
Fabreville,Laval,Laval,Laval,Fabreville,Fabreville,Laval Borough,45000,0
Sainte-Dorothée,Laval,Laval,Laval,"[Sainte-Dorothée,Laval-Ouest,Îles Laval,Laval-sur-le-Lac]",Sainte-Dorothée & Laval-Ouest,Laval Borough,45000,0
Laval-Ouest,Laval,Laval,Laval,"[Sainte-Dorothée,Laval-Ouest,Îles Laval,Laval-sur-le-Lac]",Sainte-Dorothée & Laval-Ouest,Laval Borough,45000,0
Îles Laval,Laval,Laval,Laval,"[Sainte-Dorothée,Laval-Ouest,Îles Laval,Laval-sur-le-Lac]",Sainte-Dorothée & Laval-Ouest,Laval Borough,45000,0
